2026-01-18 21:59:27,934 | WARNING | tifa_archivist.classify | vision check skipped: {"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:59:33,836 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+nsfw+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-80396242553169087737275775949432373085&p=-1 200
2026-01-18 21:59:33,868 | INFO | tifa_archivist.search | image search category=nsfw query=Tifa Lockhart Final Fantasy VII nsfw -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:59:33,873 | INFO | tifa_archivist.orchestrator | search cap reached urls=200 max_urls=200
2026-01-18 21:59:34,534 | WARNING | tifa_archivist.download | download failed url=https://www.previewsworld.com/SiteImage/MainImage/STL252199.jpg error=Cannot connect to host www.previewsworld.com:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')]
2026-01-18 21:59:34,538 | WARNING | tifa_archivist.orchestrator | classification failed url=https://pixelz.cc/wp-content/uploads/2019/12/final-fantasy-7-remake-cloud-strife-tifa-lockhart-uhd-4k-wallpaper.jpg error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:59:34,740 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://images4.alphacoders.com/705/70586.jpg reason=ok_undecoded mime=image/jpeg
2026-01-18 21:59:41,364 | WARNING | tifa_archivist.orchestrator | classification failed url=https://wallpapers.com/images/hd/tifa-lockhart-4k-wallpaper-9yt7yrl1xv49hu2j.jpg error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:59:45,262 | WARNING | tifa_archivist.orchestrator | classification failed url=https://p4.wallpaperbetter.com/wallpaper/328/759/670/final-fantasy-vii-remake-tifa-lockhart-vertical-hd-wallpaper-preview.jpg error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:59:47,160 | WARNING | tifa_archivist.download | download failed url=https://images2.alphacoders.com/119/1196766.jpg error=image too small
2026-01-18 21:59:49,210 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://static.zerochan.net/Tifa.Lockhart.full.3645097.jpg reason=ok_undecoded mime=image/jpeg
2026-01-18 21:59:51,876 | WARNING | tifa_archivist.download | download failed url=https://coolwallpapers.me/picsup/2960881-artwork-digital-2d-tifa-lockhart-final-fantasy-vii___abstract-wallpapers.jpg error=status 404
